Date,Open,High,Low,Close,Adj_Close,Volume
28/02/63,5.165711,5.168897,5.086042,5.095602,1.12848,1176750
01/03/63,5.095602,5.143403,5.063735,5.063735,1.121421,1074765
04/03/63,5.098789,5.15615,5.098789,5.143403,1.139065,784500
05/03/63,5.143403,5.143403,5.117909,5.121096,1.134125,478545
06/03/63,5.121096,5.160931,5.101976,5.160931,1.142947,439320
07/03/63,5.181644,5.223072,5.181644,5.210325,1.153885,753120
08/03/63,5.210325,5.223072,5.188018,5.207138,1.15318,415785
11/03/63,5.207138,5.235819,5.200765,5.203952,1.152474,509925
12/03/63,5.203952,5.223072,5.191205,5.200765,1.151768,368715
13/03/63,5.200765,5.229446,5.200765,5.210325,1.153885,478545
14/03/63,5.210325,5.270873,5.194391,5.226259,1.157414,619755
15/03/63,5.226259,5.27406,5.207138,5.267686,1.166589,533460
18/03/63,5.267686,5.296367,5.216699,5.219885,1.156003,486390
19/03/63,5.219885,5.239006,5.207138,5.226259,1.157414,431475
20/03/63,5.232632,5.29318,5.232632,5.277247,1.168707,517770
21/03/63,5.277247,5.289994,5.239006,5.242192,1.160943,831570
22/03/63,5.242192,5.286807,5.239006,5.280433,1.169411,447165
25/03/63,5.280433,5.296367,5.270873,5.270873,1.167295,502080
26/03/63,5.277247,5.328235,5.277247,5.305927,1.175057,847260
27/03/63,5.325048,5.366475,5.325048,5.366475,1.188467,886485
28/03/63,5.366475,5.395156,5.353728,5.363289,1.187761,862950
29/03/63,5.363289,5.382409,5.353728,5.366475,1.188467,502080
01/04/63,5.366475,5.376036,5.356915,5.366475,1.188467,713895
02/04/63,5.366475,5.382409,5.321861,5.321861,1.178586,588375
03/04/63,5.328235,5.388783,5.328235,5.382409,1.191996,541305
04/04/63,5.417463,5.479605,5.417463,5.466858,1.210698,1357185
05/04/63,5.478011,5.634162,5.478011,5.634162,1.247749,1670985
08/04/63,5.669216,5.745698,5.669216,5.731358,1.269274,1663140
09/04/63,5.731358,5.742511,5.646909,5.669216,1.255513,1294425
10/04/63,5.669216,5.681963,5.570427,5.638942,1.248807,972780
11/04/63,5.638942,5.729764,5.611855,5.688337,1.259746,1341495
15/04/63,5.688337,5.723391,5.646909,5.68515,1.259041,870795
16/04/63,5.68515,5.701083,5.643722,5.643722,1.249866,682515
17/04/63,5.643722,5.656469,5.602294,5.615041,1.243515,502080
18/04/63,5.615041,5.659656,5.615041,5.615041,1.243515,305955
19/04/63,5.646909,5.736138,5.646909,5.736138,1.270333,800190
22/04/63,5.774379,5.854047,5.774379,5.825366,1.290093,1184595
23/04/63,5.825366,5.876354,5.806246,5.876354,1.301385,878640
24/04/63,5.885915,5.946463,5.885915,5.895475,1.30562,894330
25/04/63,5.895475,5.927342,5.863607,5.922562,1.311619,729585
26/04/63,5.922562,5.991077,5.895475,5.991077,1.326792,666825
29/04/63,5.991077,6.048438,5.946463,5.971957,1.322558,549150
30/04/63,5.971957,6.003824,5.889101,5.911409,1.309148,910020
01/05/63,5.911409,5.971957,5.892288,5.927342,1.312678,627600
02/05/63,5.930529,5.981517,5.930529,5.975143,1.323263,384405
03/05/63,5.975143,5.976737,5.933716,5.933716,1.314088,321645
06/05/63,5.924156,5.924156,5.8413,5.8413,1.293622,619755
07/05/63,5.8413,5.892288,5.83174,5.867192,1.299639,564840
08/05/63,5.879541,5.991077,5.879541,5.991077,1.327081,776655
09/05/63,5.991077,6.061185,5.991077,5.997451,1.328493,1176750
10/05/63,5.997451,6.054812,5.962396,6.054812,1.3412,494235
13/05/63,6.051625,6.051625,5.994264,6.007011,1.330611,400095
14/05/63,6.007011,6.022945,5.97833,5.997451,1.328493,470700
15/05/63,5.997451,6.032505,5.997451,6.016571,1.332729,549150
16/05/63,6.016571,6.042065,5.97833,5.991077,1.327081,470700
17/05/63,5.991077,6.048438,5.943276,5.952836,1.318611,478545
20/05/63,5.952836,5.971957,5.898662,5.898662,1.306611,455010
21/05/63,5.898662,5.952836,5.889101,5.952836,1.318611,541305
22/05/63,5.952836,6.042065,5.933716,5.940089,1.315787,353025
23/05/63,5.940089,5.965583,5.920969,5.920969,1.311552,345180
24/05/63,5.920969,5.956023,5.889101,5.901848,1.307317,305955
27/05/63,5.895475,5.895475,5.838113,5.838113,1.293198,478545
28/05/63,5.860421,5.911409,5.860421,5.863607,1.298845,470700
29/05/63,5.901848,5.991077,5.901848,5.991077,1.327081,580530
31/05/63,6.016571,6.099426,6.016571,6.083493,1.347552,1121835
03/06/63,6.083493,6.102613,6.032505,6.032505,1.336258,886485
04/06/63,6.032505,6.083493,6.016571,6.042065,1.338376,611910
05/06/63,6.042065,6.067559,5.984704,5.991077,1.327081,517770
06/06/63,5.991077,6.016571,5.965583,5.991077,1.327081,305955
07/06/63,5.991077,5.997451,5.962396,5.96877,1.322141,376560
10/06/63,5.96877,5.96877,5.889101,5.892288,1.305199,690360
11/06/63,5.901848,5.962396,5.901848,5.927342,1.312965,290265
12/06/63,5.927342,5.984704,5.901848,5.96877,1.322141,580530
13/06/63,5.96877,6.042065,5.889101,5.908222,1.308729,470700
14/06/63,5.908222,5.936902,5.889101,5.905035,1.308022,353025
17/06/63,5.905035,5.908222,5.844487,5.854047,1.296728,447165
18/06/63,5.854047,5.908222,5.844487,5.844487,1.29461,556995
19/06/63,5.844487,5.860421,5.818993,5.825366,1.290375,682515
20/06/63,5.825366,5.825366,5.739324,5.796686,1.284023,1239510
21/06/63,5.799873,5.82218,5.799873,5.806246,1.28614,572685
24/06/63,5.806246,5.828553,5.723391,5.723391,1.267787,815880
25/06/63,5.723391,5.793499,5.68515,5.69471,1.261433,706050
26/06/63,5.69471,5.697897,5.592734,5.592734,1.238845,1302270
27/06/63,5.592734,5.637349,5.506692,5.535373,1.226138,1427790
28/06/63,5.551307,5.586361,5.551307,5.560867,1.231786,682515
01/07/63,5.560867,5.560867,5.43021,5.436584,1.204256,1561155
02/07/63,5.462078,5.589547,5.462078,5.589547,1.238139,1223820
03/07/63,5.599108,5.646909,5.599108,5.630975,1.247315,1074765
05/07/63,5.637349,5.672403,5.637349,5.672403,1.256493,470700
08/07/63,5.659656,5.659656,5.551307,5.55768,1.23108,627600
09/07/63,5.55768,5.650096,5.535373,5.619822,1.244845,682515
10/07/63,5.608668,5.608668,5.54812,5.570427,1.233905,674670
11/07/63,5.570427,5.608668,5.532186,5.532186,1.225433,643290
12/07/63,5.532186,5.564054,5.500319,5.500319,1.218375,596220
15/07/63,5.500319,5.532186,5.470045,5.513066,1.221197,847260
16/07/63,5.513066,5.554493,5.509879,5.54812,1.228963,831570
17/07/63,5.54812,5.602294,5.503505,5.519439,1.22261,847260
18/07/63,5.519439,5.541746,5.474825,5.474825,1.212727,949245
19/07/63,5.474825,5.487572,5.455704,5.471638,1.212021,745275
22/07/63,5.471638,5.487572,5.436584,5.455704,1.208491,627600
23/07/63,5.455704,5.513066,5.439771,5.439771,1.204963,878640
24/07/63,5.439771,5.493945,5.42065,5.462078,1.209904,658980
25/07/63,5.462078,5.506692,5.462078,5.468451,1.211315,572685
26/07/63,5.468451,5.506692,5.468451,5.500319,1.218375,407940
29/07/63,5.506692,5.525813,5.506692,5.519439,1.22261,345180
30/07/63,5.54812,5.646909,5.54812,5.646909,1.250845,1137525
31/07/63,5.646909,5.710644,5.53856,5.53856,1.226845,1192440
01/08/63,5.53856,5.573614,5.481198,5.544933,1.228256,1027695
02/08/63,5.544933,5.570427,5.506692,5.506692,1.219785,376560
05/08/63,5.506692,5.579987,5.500319,5.579987,1.236021,423630
06/08/63,5.579987,5.634162,5.560867,5.630975,1.2476,855105
07/08/63,5.630975,5.630975,5.57202,5.57202,1.234539,556995
08/08/63,5.57202,5.627788,5.53856,5.595921,1.239834,533460
09/08/63,5.595921,5.666029,5.589547,5.653282,1.252542,706050
12/08/63,5.672403,5.70427,5.672403,5.678776,1.258192,855105
13/08/63,5.691523,5.793499,5.691523,5.790312,1.282903,1482705
14/08/63,5.790312,5.857234,5.742511,5.825366,1.29067,1380720
15/08/63,5.825366,5.85086,5.787126,5.787126,1.282197,917865
16/08/63,5.787126,5.825366,5.768005,5.768005,1.277961,455010
19/08/63,5.768005,5.799873,5.761632,5.761632,1.276549,321645
20/08/63,5.761632,5.787126,5.691523,5.691523,1.261016,502080
21/08/63,5.701083,5.736138,5.701083,5.720204,1.267369,298110
22/08/63,5.720204,5.768005,5.70427,5.768005,1.277961,517770
23/08/63,5.768005,5.787126,5.710644,5.717017,1.266665,462855
26/08/63,5.729764,5.758445,5.729764,5.736138,1.270901,392250
27/08/63,5.736138,5.742511,5.634162,5.634162,1.248307,588375
28/08/63,5.634162,5.710644,5.634162,5.653282,1.252542,658980
29/08/63,5.653282,5.697897,5.640535,5.640535,1.249719,572685
30/08/63,5.640535,5.672403,5.602294,5.669216,1.256073,706050
03/09/63,5.677183,5.758445,5.677183,5.70427,1.263839,855105
